,Id,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city,brand_rank,car_age,distance below 30k km,new and less used,inv_car_price,inv_car_dist,inv_car_age,inv_brand,std_invprice,std_invdistance_travelled,std_invrank,best_buy1,best_buy2
21,21,2010,Maruti Suzuki,Maruti Suzuki Ritz VXI BS-IV,Ritz,265000.0,24000.0,Petrol,Mumbai,32,11.0,1,0,3.7735849056603773e-06,4.1666666666666665e-05,0.09090909090909091,0.03125,0.23258624301113384,0.014146562823191709,0.019140625,62.97831993351164,0.0
22,22,2013,Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],Grand,340000.0,44380.0,Petrol,Mumbai,14,8.0,0,0,2.9411764705882355e-06,2.253267237494367e-05,0.125,0.07142857142857142,0.18033857437082434,0.007446696525893654,0.059821428571428574,80.33578978738639,0.0
23,23,2016,Skoda,Skoda Rapid Style 1.5 TDI AT,Rapid,675000.0,58000.0,Diesel,Mumbai,27,5.0,0,0,1.4814814814814815e-06,1.7241379310344828e-05,0.2,0.037037037037037035,0.08871809469589145,0.00559392310429981,0.025,12.40705499222014,0.0
24,24,2016,Honda,Honda City V Diesel,City,685000.0,69380.0,Diesel,Mumbai,7,5.0,0,0,1.4598540145985402e-06,1.4413375612568464e-05,0.2,0.14285714285714285,0.0873606063817188,0.004603683096150422,0.13214285714285715,53.1452865505424,0.0
25,25,2016,Maruti Suzuki,Maruti Suzuki Celerio VXi AMT ABS,Celerio,445000.0,39500.0,Petrol,Mumbai,32,5.0,0,0,2.247191011235955e-06,2.5316455696202533e-05,0.2,0.03125,0.13677928208867862,0.008421452542265562,0.019140625,22.0477075823723,0.0
26,26,2012,BMW,BMW 3 Series 320d Prestige,3,925000.0,74460.0,Diesel,Mumbai,4,9.0,0,0,1.0810810810810812e-06,1.3430029546065002e-05,0.1111111111111111,0.25,0.06358621644701919,0.004259359424412047,0.240625,65.17004491264467,0.0
27,27,2017,Mercedes-Benz,Mercedes-Benz GLE 250 d,GLE,4550000.0,42442.0,Diesel,Mumbai,2,4.0,0,0,2.1978021978021978e-07,2.356156637293247e-05,0.25,0.5,0.009525060763318662,0.007806969039594539,0.49375,36.71616564924598,0.0
28,28,2014,Volkswagen,Volkswagen Vento TSI,Vento,485000.0,65327.0,Petrol,Mumbai,3,7.0,0,0,2.061855670103093e-06,1.5307606349595114e-05,0.14285714285714285,0.3333333333333333,0.1251463635803393,0.004916802577930791,0.325,199.9789879979048,0.0
29,29,2016,Honda,Honda Jazz V AT Petrol,Jazz,635000.0,19768.0,Petrol,Mumbai,7,5.0,1,0,1.5748031496062992e-06,5.058680696074464e-05,0.2,0.14285714285714285,0.09457560332712468,0.0172699957255061,0.13214285714285715,215.83160647240834,0.0
30,30,2016,Tata,Tata Nano Twist XT,Nano,215000.0,2814.0,Petrol,Mumbai,40,5.0,1,0,4.651162790697674e-06,0.00035536602700781805,0.2,0.025,0.28766905646138263,0.12399000375819881,0.012812500000000003,456.9973697069807,0.0
31,31,2015,Hyundai,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],Grand,445000.0,20100.0,Petrol,Mumbai,14,6.0,1,0,2.247191011235955e-06,4.9751243781094526e-05,0.16666666666666666,0.07142857142857142,0.13677928208867862,0.016977418990024234,0.059821428571428574,138.91487958810032,0.0
32,32,2015,Mercedes-Benz,Mercedes-Benz GLA 200 CDI Sport,GLA,1950000.0,52717.0,Diesel,Mumbai,2,6.0,0,0,5.128205128205128e-07,1.8969212967353985e-05,0.16666666666666666,0.5,0.02791828154765815,0.006198932926579341,0.49375,85.45013015252472,0.0
33,33,2015,Hyundai,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],Grand,445000.0,20100.0,Petrol,Mumbai,14,6.0,1,0,2.247191011235955e-06,4.9751243781094526e-05,0.16666666666666666,0.07142857142857142,0.13677928208867862,0.016977418990024234,0.059821428571428574,138.91487958810032,0.0
34,34,2012,Maruti Suzuki,Maruti Suzuki A-Star Vxi,A-Star,275000.0,46646.0,Petrol,Mumbai,32,9.0,0,0,3.636363636363636e-06,2.143806542897569e-05,0.1111111111111111,0.03125,0.2239732939989131,0.007063414286217664,0.019140625,30.28077814984158,0.0
35,35,2014,Audi,Audi Q5 2.0 TDI quattro Premium Plus,Q5,1875000.0,49000.0,Diesel,Mumbai,10,7.0,0,0,5.333333333333333e-07,2.0408163265306123e-05,0.14285714285714285,0.1,0.029205807002561913,0.006702788758129732,0.08875000000000001,17.37373149283798,0.0
36,36,2018,Mercedes-Benz,Mercedes-Benz GLE 250 d,GLE,5500000.0,32000.0,Diesel,Mumbai,2,3.0,0,0,1.8181818181818183e-07,3.125e-05,0.3333333333333333,0.5,0.007142302616256502,0.010499113531311341,0.49375,37.0252489837604,0.0
37,37,2020,BMW,BMW X1 sDrive20i SportX,X1,3500000.0,5550.0,Petrol,Mumbai,4,1.0,1,1,2.857142857142857e-07,0.00018018018018018018,1.0,0.25,0.013663535439795045,0.06264778043414149,0.240625,205.97263421985028,205.97263421985028
38,38,2010,BMW,BMW Z4 Roadster sDrive35i,Z4,2900000.0,48000.0,Petrol,Mumbai,4,11.0,0,0,3.4482758620689656e-07,2.0833333333333333e-05,0.09090909090909091,0.25,0.017373892046291115,0.006851664239430971,0.240625,28.6440180067645,0.0
39,39,2016,Audi,Audi A3 35 TDI Premium,A3,1525000.0,31000.0,Diesel,Mumbai,10,5.0,0,0,6.557377049180327e-07,3.2258064516129034e-05,0.2,0.1,0.03688874578264338,0.0108520924950417,0.08875000000000001,35.52840721176513,0.0
40,40,2012,Audi,Audi A4 1.8 TFSI Multitronic Premium Plus,A4,975000.0,61000.0,Petrol,Mumbai,10,9.0,0,0,1.0256410256410257e-06,1.639344262295082e-05,0.1111111111111111,0.1,0.06010641792025226,0.005297013721580323,0.08875000000000001,28.256626192477317,0.0
41,41,2014,BMW,BMW X3 xDrive-20d xLine,X3,2350000.0,65000.0,Diesel,Mumbai,4,7.0,0,0,4.2553191489361704e-07,1.5384615384615384e-05,0.14285714285714285,0.25,0.02243944982466341,0.004943767686755086,0.240625,26.693837110260766,0.0
42,42,2010,Bentley,Bentley Continental Flying Spur W12,Continental,7600000.0,49000.0,Petrol,Mumbai,44,11.0,0,0,1.3157894736842104e-07,2.0408163265306123e-05,0.09090909090909091,0.022727272727272728,0.003988943323295428,0.006702788758129732,0.010511363636363638,0.2810427969248427,0.0
43,43,2014,Audi,Audi Q3 2.0 TDI quattro Premium Plus,Q3,1470000.0,78000.0,Diesel,Mumbai,10,7.0,0,0,6.802721088435375e-07,1.282051282051282e-05,0.14285714285714285,0.1,0.03842869342442357,0.004045934014907611,0.08875000000000001,13.798846261346947,0.0
44,44,2010,Audi,Audi Q7 3.0 TDI quattro Premium,Q7,1550000.0,82000.0,Diesel,Mumbai,10,11.0,0,0,6.451612903225806e-07,1.2195121951219513e-05,0.09090909090909091,0.1,0.03622489738574695,0.0038269501925057878,0.08875000000000001,12.303490424619945,0.0
45,45,2017,Mercedes-Benz,Mercedes-Benz GLA 200 Sport,GLA,2350000.0,24000.0,Petrol,Mumbai,2,4.0,1,1,4.2553191489361704e-07,4.1666666666666665e-05,0.25,0.5,0.02243944982466341,0.014146562823191709,0.49375,156.7365365395892,156.7365365395892
46,46,2013,Mercedes-Benz,Mercedes-Benz E-Class E350 Cabriolet,E-Class,3850000.0,6000.0,Petrol,Mumbai,2,8.0,1,0,2.5974025974025974e-07,0.00016666666666666666,0.125,0.5,0.01203322723391041,0.05791595432575614,0.49375,344.1021954423589,0.0
47,47,2016,Mercedes-Benz,Mercedes-Benz GLA 200 Sport,GLA,2000000.0,33000.0,Petrol,Mumbai,2,5.0,0,0,5e-07,3.0303030303030302e-05,0.2,0.5,0.027113578138343294,0.010167527232049488,0.49375,136.11603426445413,0.0
48,48,2014,Audi,Audi Q7 35 TDI Technology Pack,Q7,2250000.0,107000.0,Diesel,Mumbai,10,7.0,0,0,4.4444444444444444e-07,9.345794392523365e-06,0.14285714285714285,0.1,0.02362653003131227,0.0028292435250208453,0.08875000000000001,5.93251213099482,0.0
49,49,2015,BMW,BMW 3 Series GT 320d Luxury Line [2014-2016],3,2125000.0,71000.0,Diesel,Mumbai,4,6.0,0,0,4.7058823529411767e-07,1.4084507042253522e-05,0.16666666666666666,0.25,0.025267493846385696,0.0044885280784943945,0.240625,27.290209004396445,0.0
50,50,2015,Mercedes-Benz,Mercedes-Benz E-Class E350 CDI Avantgarde,E-Class,1900000.0,94000.0,Diesel,Mumbai,2,6.0,0,0,5.263157894736842e-07,1.0638297872340426e-05,0.16666666666666666,0.5,0.02876533776798957,0.003281820251633164,0.49375,46.61131734082789,0.0
51,51,2012,Mercedes-Benz,Mercedes-Benz E-Class E200 CGI Blue Efficiency,E-Class,1250000.0,55000.0,Petrol,Mumbai,2,9.0,0,0,8e-07,1.8181818181818182e-05,0.1111111111111111,0.5,0.04594363791631085,0.005923222601497786,0.49375,134.36635728483077,0.0
